Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,n_cols,attrition_yes,attrition_no,total,attrition_rate,attrition_lift
,Travel_Rarely,,,,,Low,,Low,,,,,,,,,,,,,,,,,,,3,10,0,10,1.0,6.2025
,,,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,New,3,11,1,12,0.9167,5.6857
Young,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,,,3,11,1,12,0.9167,5.6857
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,No Stock,,,,,,,,3,10,1,11,0.9091,5.6387
,Travel_Frequently,,,,,,,,,Sales Representative,,Single,,,,,,,,,,,,,,,3,10,1,11,0.9091,5.6387
,,,,,,Low,,,,,,,,,Yes,,,,,Junior,,,,,,,3,10,1,11,0.9091,5.6387
,,,,,,,,,,Sales Representative,Medium,Single,,,,,,,,,,,,,,,3,9,1,10,0.9,5.5823
,,,,,,Low,,Low,,,,,,,,,,,No Stock,,,,,,,,3,9,1,10,0.9,5.5823
,,,,,,Low,,,,,,,Low,,Yes,,,,,,,,,,,,3,15,2,17,0.8824,5.4728
,,,,,,,,,,,,,,,Yes,,Outstanding,,,Junior,,,,,,,3,13,2,15,0.8667,5.3755
,,,,,,Low,,,,,,,,,Yes,,,,,,,,New,,,,3,11,2,13,0.8462,5.2483
,,,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,New,,,3,11,2,13,0.8462,5.2483
,,,,,,Low,,Low,,,,,,,,,,,,,Medium,,,,,,3,10,2,12,0.8333,5.1688
